,city,country,city id,lat,lon,temp,temp_max,humidity,cloudiness,wind speed
116,hermanus,ZA,3366880,-34.42,19.23,10.0,10.0,86,0,0.45
117,barguzin,RU,2027109,53.62,109.62,11.28,11.28,78,91,2.27
118,portland,US,5746545,45.52,-122.68,23.67,25.56,60,20,1.5
119,saint-joseph,RE,6690296,-21.37,55.62,16.15,19.0,77,40,2.6
120,senno,RU,497024,59.53,33.92,11.68,11.68,97,100,3.2
121,luderitz,NA,3355672,-26.65,15.16,23.0,23.0,18,0,0.5
122,airai,TL,1651810,-8.93,125.41,13.72,13.72,97,2,1.22
123,najran,SA,103630,17.49,44.13,33.0,33.0,29,40,7.2
124,kluang,MY,1732811,2.03,103.33,25.16,25.56,94,20,0.73
125,ritchie,ZA,961226,-29.04,24.6,3.0,3.0,34,0,0.5
126,severo-kurilsk,RU,2121385,50.68,156.12,10.03,10.03,92,100,1.95
127,berlevag,NO,780687,70.86,29.09,14.0,14.0,87,100,1.5
128,srandakan,ID,1626493,-7.94,110.25,23.92,23.92,90,77,0.82
129,bon air,DE,2946447,50.73,7.1,14.57,16.0,93,75,3.6
130,fonte boa,IT,6534614,45.78,11.87,20.68,22.22,88,75,3.1
131,fortuna,US,5563839,40.6,-124.16,16.02,16.67,87,20,6.2
132,houlton,US,4967563,46.13,-67.84,21.88,22.78,43,1,1.5
133,castro,BR,3466704,-24.79,-50.01,20.75,20.75,62,0,2.84
134,nikolskoye,RU,546105,59.7,30.79,14.94,16.0,67,75,3.0
135,wainwright,CA,6175059,52.84,-110.86,19.55,19.55,69,88,2.49
136,san jose,ML,2451778,13.3,-4.9,27.46,27.46,67,100,4.77
137,saldanha,ZA,3361934,-33.01,17.94,13.0,13.0,58,0,1.0
138,hilo,US,5855927,19.73,-155.09,22.15,24.44,69,90,1.5
139,pocone,BR,3453315,-16.26,-56.62,36.83,36.83,14,0,2.55
140,east london,IS,3337405,65.0,-15.0,16.0,16.0,51,40,9.8
141,mahebourg,MU,934322,-20.41,57.7,22.0,22.0,73,40,3.1
142,vychegodskiy,RU,470530,61.25,46.9,15.79,15.79,85,36,1.23
143,makakilo city,US,7262761,21.35,-158.09,26.46,27.0,69,1,2.1
144,ndende,GA,2397614,-2.4,11.36,23.81,23.81,75,100,2.29
145,lompoc,US,5367788,34.64,-120.46,19.72,21.0,64,11,3.6
146,san juan,ML,2451778,13.3,-4.9,27.46,27.46,67,100,4.77
147,homer,US,5864145,59.64,-151.55,16.12,18.33,72,1,2.1
148,cocora,RO,681206,44.73,27.05,23.04,23.33,56,75,3.1
149,marawi,PH,1701054,8.0,124.29,23.89,23.89,90,100,2.24
150,yashkino,RU,1486298,55.87,85.43,22.0,22.0,78,20,2.0
151,dibrugarh,IN,1272648,27.48,94.9,25.26,25.26,94,100,1.6
152,honiara,SB,2108502,-9.43,159.95,22.0,22.0,94,20,1.0
153,hit,IQ,95788,33.64,42.83,35.82,35.82,12,0,5.98
154,antalaha,MG,1071296,-14.9,50.28,20.12,20.12,85,9,3.35
155,hamilton,US,4513583,39.18,-84.53,30.63,31.67,62,75,6.7
156,san vicente,ML,2451778,13.3,-4.9,27.46,27.46,67,100,4.77
157,dakar,SN,2253354,14.69,-17.44,28.0,28.0,74,20,4.1
158,shimoda,JP,1852357,34.67,138.95,22.0,22.0,94,75,4.1
159,chuy,UY,3443061,-33.7,-53.46,12.8,12.8,72,44,3.52
160,portmore,JM,3488981,17.97,-76.87,30.75,31.67,74,40,7.7
161,klerksdorp,ZA,989921,-26.85,26.67,7.61,7.61,42,0,1.68
162,marystown,CA,6067472,47.17,-55.15,15.34,15.34,70,100,6.85
163,zaltan,LY,2208655,32.95,11.87,25.83,25.83,79,0,7.6
164,ponta delgada,PT,3372784,38.73,-28.27,22.0,22.0,68,75,2.1
165,samarai,PG,2132606,-10.62,150.67,24.71,24.71,88,100,7.07
166,clyde river,US,5150651,41.3,-82.98,28.2,30.0,65,90,1.34
167,payo,ID,1638775,-3.75,103.64,23.36,23.36,95,82,0.85
168,mildura,AU,2157698,-34.2,142.15,1.0,1.0,100,0,2.5
169,kolondieba,ML,2454934,11.09,-6.89,22.25,22.25,95,100,1.11
170,stabat,ID,1213655,3.76,98.45,25.0,25.0,100,40,1.22
171,butaritari,KI,2110227,3.07,172.79,28.6,28.6,64,100,4.66
172,pevek,RU,2122090,69.7,170.31,5.05,5.05,98,100,2.92
173,torres,BR,3446295,-29.34,-49.73,12.26,12.26,90,100,3.43
174,ola,RU,2122574,59.58,151.28,12.15,12.15,91,100,1.53
175,port elizabeth,CD,212962,-7.03,29.76,23.36,23.36,44,0,3.8
176,sao miguel do araguaia,IN,1275117,20.51,76.21,23.36,23.36,88,60,7.5
177,mayo,US,4362001,38.89,-76.51,28.45,29.44,65,20,5.7
178,batticaloa,LK,1250161,7.71,81.69,27.83,27.83,71,100,2.52
179,irbil,IQ,95446,36.19,44.01,32.65,32.65,21,0,3.05
180,havre-saint-pierre,CA,5972291,50.23,-63.6,22.0,22.0,35,1,8.2
181,crepy-en-valois,FR,3022569,49.23,2.89,18.94,19.0,68,75,4.6
182,anadyr,RU,2127202,64.75,177.48,8.94,9.0,93,90,1.0
183,zhezkazgan,KZ,1516589,47.8,67.71,26.19,26.19,27,0,8.32
184,kamenka,RU,553766,51.32,42.77,18.61,18.89,60,0,2.22
185,balkhash,KZ,1525798,46.84,74.98,26.1,26.1,32,0,10.82
186,padang,ID,1633419,-0.95,100.35,25.46,25.46,84,100,3.67
187,burgthann,DE,2941090,49.35,11.31,14.42,15.0,87,75,1.5
188,platonovka,RU,509104,52.71,41.95,12.54,12.54,92,9,2.09
189,asau,RO,686090,46.43,26.4,14.44,14.44,94,11,2.2
190,isangel,VU,2136825,-19.55,169.27,19.0,19.0,93,5,2.1
191,saint-philippe,RE,935215,-21.36,55.77,15.95,19.0,77,40,2.6
192,constantine,DZ,2501152,36.37,6.61,24.0,24.0,57,20,6.7
193,warrington,GB,2634739,53.39,-2.58,19.67,20.56,77,75,4.1
194,stromness,GB,2636638,58.97,-3.3,15.81,17.0,77,100,4.6
195,avarua,CK,4035715,-21.21,-159.78,22.0,22.0,73,19,2.6
196,agartala,IN,1279290,23.84,91.28,26.19,26.19,92,100,3.35
197,davidson,US,4617305,36.15,-86.78,34.06,35.56,49,75,4.1
198,bengkulu,ID,1649150,-3.8,102.27,25.05,25.05,87,94,1.92
199,northam,GB,2641434,51.03,-4.22,17.4,19.44,88,4,3.13
200,victoria,HK,1819729,22.29,114.16,27.89,28.89,79,100,3.58
201,palma di montechiaro,ES,2512989,39.57,2.65,25.26,26.0,69,31,3.1
202,barrow,US,5880054,71.29,-156.79,3.0,3.0,74,75,5.1
203,junin,AR,3853354,-34.58,-60.94,15.45,15.45,47,0,2.89
204,kuala terengganu,ID,1215199,3.38,98.62,25.0,25.0,100,40,1.07
205,codrington,AU,2171099,-38.27,141.97,3.96,3.96,92,3,3.42
206,ode,NG,2328090,7.79,5.71,21.08,21.08,97,86,2.51
207,sabzevar,IR,118063,36.21,57.68,24.83,24.83,40,36,5.0
208,lebu,CL,3883457,-37.62,-73.65,12.1,12.1,87,100,8.17
209,multai,IN,1262534,21.77,78.25,23.72,23.72,90,10,2.79
210,benghazi,LY,88319,32.12,20.07,25.66,25.66,71,0,4.08
211,faro,PT,2268339,37.02,-7.93,30.39,31.0,43,0,2.6
212,alice springs,US,4670234,27.75,-98.07,35.71,36.0,47,20,4.6
213,ucluelet,CA,6171633,48.93,-125.55,15.72,16.0,100,90,2.1
214,komsomolskiy,UZ,1513491,40.43,71.72,29.0,29.0,23,20,5.1
215,yerbogachen,RU,2012956,61.28,108.01,9.13,9.13,90,0,2.5
216,hirara,JP,1862505,24.8,125.28,29.62,29.62,82,100,9.54
217,nome,US,5870133,64.5,-165.41,13.01,13.33,76,75,1.5
218,saint-pierre,RE,935214,-21.34,55.48,16.32,19.0,77,40,2.6
219,ust-karsk,RU,2013942,52.7,118.81,18.85,18.85,77,96,0.7
220,taos,US,5493811,36.41,-105.57,24.04,27.0,30,1,5.1
221,babino,RU,579951,56.23,43.62,16.62,17.0,77,40,4.0
222,seddon,AU,7281807,-37.81,144.89,4.58,5.56,100,2,3.1
223,mount isa,GB,2654993,53.66,-1.85,17.32,17.78,87,68,0.45
224,aragarcas,BR,3471840,-15.9,-52.25,32.23,32.23,21,0,1.59
225,iqaluit,CA,5983720,63.75,-68.51,10.77,11.0,53,75,4.6
226,burnie,AU,2173125,-41.07,145.92,3.3,3.89,85,0,1.79
227,hambantota,LK,1244926,6.12,81.12,29.0,29.0,70,75,3.6
228,araouane,ML,2460954,18.9,-3.53,34.71,34.71,28,55,9.95
229,taltal,CL,3870243,-25.4,-70.48,19.74,19.74,41,17,3.11
230,dawson creek,US,4190953,31.77,-84.45,32.84,34.0,49,1,1.5
231,noumea,NC,2139521,-22.28,166.46,14.0,14.0,87,75,1.0
232,lishu,CN,2036055,43.3,124.33,22.32,22.32,76,0,4.86
233,bereda,ES,3105522,43.27,-7.54,19.44,19.44,75,99,6.26
234,ati,TD,2436400,13.22,18.34,28.61,28.61,56,100,3.28
235,longyearbyen,SJ,2729907,78.22,15.64,7.0,7.0,87,75,1.0
236,hongjiang,CN,1808106,27.11,110.0,25.44,25.44,77,100,1.43
237,bambous virieux,MU,934778,-20.26,57.41,20.94,22.0,73,40,3.1
238,talnakh,RU,1490256,69.49,88.4,10.0,10.0,81,40,6.0
239,kahului,US,5847411,20.89,-156.47,25.4,28.0,61,40,4.1
240,acapulco,MX,3533462,16.86,-99.89,34.0,34.0,52,5,2.6
241,flinders,AU,6255012,-34.58,150.86,11.67,11.67,78,64,4.02
242,cartagena,CO,3687238,10.4,-75.51,31.0,31.0,74,40,3.6
243,bam,IR,141736,29.11,58.36,31.72,31.72,24,94,9.46
244,cabo san lucas,BR,3404545,-8.28,-35.03,27.0,27.0,74,75,7.7
245,greymouth,NZ,2206895,-42.47,171.2,4.04,4.04,73,100,4.49
246,havoysund,NO,779622,71.0,24.66,12.47,14.0,93,75,1.0
247,doka,SD,376332,13.52,35.77,24.53,24.53,80,100,4.96
248,moose factory,US,5832732,43.66,-110.72,23.24,25.56,37,1,2.1
249,whitianga,NZ,2179103,-36.83,175.7,12.22,12.22,87,91,2.68
250,pisco,PE,3932145,-13.7,-76.22,16.29,16.67,87,90,1.5
251,dingle,PH,1714733,11.0,122.67,25.11,25.11,89,79,1.07
252,praya,CV,3374333,14.92,-23.51,27.0,27.0,65,75,7.2
253,taoudenni,ML,2450173,22.68,-3.98,39.05,39.05,20,100,4.51
254,mizdah,LY,2214827,31.45,12.98,30.38,30.38,32,2,5.18
